|0|1|2
274|จ.นครราชสีมา|อ.โนนไทย|ถ.สุรนารายณ์
275|จ.นครราชสีมา|อ.ชุมพวง|ถ.ชุมพวง-ทางพาด
276|จ.ขอนแก่น|อ.พล|ต.พล
277|จ.ขอนแก่น|อ.ชุมแพ|ต.ชุมแพ
278|จ.ขอนแก่น|อ.น้ำพอง|ต.หนองกุง
279|จ.ขอนแก่น|อ.มัญจาคีรี|ต.กุดเค้า
280|จ.ขอนแก่น|อ.ภูเวียง|ต.ในเมือง
281|จ.ขอนแก่น|อ.เมือง|ต.ในเมือง
282|จ.มหาสารคาม|อ.โกสุมพิสัย|ต.ห้วยขวาง
283|จ.มหาสารคาม|อ.บรบือ|ต.บรบือ
284|จ.มหาสารคาม|อ.วาปีปทุม|ต.หนองแสง
285|จ.มหาสารคาม|อ.พยัคภูมิพิสัย|ต.ปะหลาน
286|จ.ร้อยเอ็ด|อ.สุวรรณภูมิ|ต.สระคู
287|จ.ร้อยเอ็ด|อ.โพนทอง|ต.แวง
288|จ.ร้อยเอ็ด|อ.เกษตรวิสัย|ต.เมือง
289|จ.ร้อยเอ็ด|อ.จตุรพักตรพิมาร|ต.หัวช้าง
290|จ.ร้อยเอ็ด|อ.เสลภูมิ|ต.ขวัญเมือง
291|จ.ร้อยเอ็ด|อ.พนมไพร|ต.พนมไพร
292|จ.ร้อยเอ็ด|อ.อาจสามารถ|ต.อาจสามารถ
293|จ.หนองคาย|อ.ท่าบ่อ|ถ.สันติสุข
294|จ.หนองคาย|อ.โพนพิสัย|ต.ชุมพล
295|จ.หนองคาย|อ.ศรีเชียงใหม่|ต.พรานพร้าว
296|จ.บึงกาฬ|อ.บุงกาฬ|ถ.บำรุงราษฎร์
297|จ.สกลนคร|อ.ส่างแดนดิน|ถ.นิตโย
298|จ.สกลนคร|อ.วานรนิวาส|ถ.เดื่อเจริญ
299|จ.สกลนคร|อ.พังโคน|ถ.นิตโย
300|จ.นครพนม|อ.ธาตุพนม|ถ.ชยางกูร
301|จ.นครพนม|อ.ท่าอุเทน|ถ.หลักเมือง
302|จ.นครพนม|อ.บ้านแพง|ถ.เจริญยงค์
303|จ.นครพนม|อ.นาแก|ถ.จันทวงศ์
304|จ.เลย|อ.เชียงคาน|ถ.มะลิวัลย์
305|จ.เลย|อ.วังสะพุง|ถ.ภูมิวิถี
306|จ.กาฬสินธุ์|อ.กุฉินารายณ์|ต.บัวขาว
307|จ.อุดรธานี|อ.กุมภวาปี|ถ.ศุภอรรถวินิจ
308|จ.อุดรธานี|อ.หนองหาน|ถ.อภัยสำราญ
309|จ.หนองบัวลำภู|อ.เมือง|ถ.วิไสยอุดรกิจ
310|จ.อุดรธานี|อ.บ้านผือ|ถ.ชนบทบำรุง
311|จ.อุดรธานี|อ.เพ็ญ|ถ.เพ็ญ-อุดรธานี
312|จ.อุดรธานี|อ.บ้านดุง|ต.ศรีสุทโธ
313|จ.หนองบัวลำภู|ต.เมืองใหม่|ถ.สอนร่วมมิตร
314|จ.อุดรธานี|อ.น้ำโสม|อนุเสาวรีย์เมืองโสม
315|จ.ขอนแก่น|อ.กระนวน|ต.หนองโก
316|จ.บึงกาฬ|อ.พรเจริญ|ถ.โซ่พิสัย-พรเจริญ
317|จ.สุราษฎร์ธานี|อ.ไชยา|ถ.รักษ์นรกิจ
318|จ.สุราษฎร์ธานี|อ.บ้านนาสาร|ถ.วิเวก
319|จ.สุราษฎร์ธานี|อ.พุนพิน|ถ.สุราษฎร์-พุนพิน
320|จ.สุราษฎร์ธานี|อ.เกาะสมุย|ถ.ทวีราษฎร์ภักดี
321|จ.สุราษฎร์ธานี|อ.พระแสง|ต.อิปัน
322|จ.สุราษฎร์ธานี|อ.กาญจนดิษฐ์|ถ.ท่าทองใหม่-กระแดะ
323|จ.สุราษฎร์ธานี|อ.ท่าฉาง|ถ.พุนพิน-ไชยา
324|จ.สุราษฎร์ธานี|อ.เวียงสระ|ถ.บ้านส้อง-พระแสง
325|จ.นครศรีธรรมราช|อ.ปากพนัง|ถ.ชายน้ำ
326|จ.นครศรีธรรมราช|อ.ร่อนพิบูลย์|ถ.ตลาดนอก
327|จ.นครศรีธรรมราช|อ.ฉลาง|ถ.ภักดีราษฎร์
328|จ.นครศรีธรรมราช|อ.สิชล|ถ.สิชล-นครศรีธรรมราช
329|จ.นครศรีธรรมราช|อ.ท่าศาลา|ถ.นครศรี-สุราษฎร์
330|จ.นครศรีธรรมราช|อ.ชะอวด|ถ.อรุณประชา
331|จ.นครศรีธรรมราช|อ.เชียรใหญ่|ถ.เกียรติดำรง
332|จ.นครศรีธรรมราช|อ.หัวไทร|ถ.หัวไทร-นครศรี
333|จ.ชุมพร|อ.หลังสวน|ถ.หลังสวน
334|จ.ชุมพร|อ.สวี|ถ.รักษ์นรกิจ
335|จ.ชุมพร|อ.ท่าแซะ|ถ.เพชรเกษม
336|จ.ชุมพร|อ.เมือง|ต.ปากน้ำชุมพร
337|จ.ระนอง|อ.กระบุรี|ถ.สถาพร
338|จ.พังงา|อ.ตะกั่วป่า|ราษฎร์บำรุง
339|จ.พังงา|อ.ตะกั่วทุ่ง|ถ.เพชรเกษม
340|จ.พังงา|อ.ท้ายเหมือง|ถ.เพชรเกษม
341|จ.นครศรีธรรมราช|อ.ขนอม|ถ.อัครวิถี
342|จ.สุราษฎร์ธานี|อ.ท่าชนะ|ถ.วิชิตภักดี
343|จ.สงขลา|อ.ระโนด|ถ.สุวรรณรังษี
344|จ.สงขลา|อ.สะเดา|ถ.กาญจนวนิช
345|จ.สงขลา|อ.รัตนภูมิ|ถ.ยนตรการกำธร
346|จ.สงขลา|อ.สทิงพระ|ถ.หัวเขาแดง-ระโนด
347|จ.สงขลา|อ.สะเดา|ถ.คลองแงะ-นาทวี
348|จ.สงขลา|อ.จะนะ|ถ.ดำรงพัฒนา
349|จ.สงขลา|อ.เทพา|ถ.ประธานสุข
350|จ.สงขลา|อ.นาทวี|ถ.แปลงประดิษฐ์
351|จ.ตรัง|อ.ย่านตาขาว|ถ.ตรัง-ปะเหลียน
352|จ.ตรัง|อ.ห้วยยอด|ถ.เพชรเกษม
353|จ.ตรัง|อ.กันตัง|ถ.สกลสถานพิพัฒน์
354|จ.พัทลุง|อ.ปากพะยูน|ถ.ปากพยูน-หารเทา
355|จ.พัทลุง|อ.เขาชัยสน|ถ.เชาชัยสน-พัทลุง
356|จ.พัทลุง|อ.เขาชัยสน|ถ.ควนขนุน-พัทลุง
357|จ.สตูล|อ.ละงู|ถนนละงู-ทุ่งหว้า
358|จ.ปัตตานี|อ.สายบุรี|ถ.สุริยะ
359|จ.ยะลา|อ.เบตง|ถ.จันทโรทัย
360|จ.นราธิวาส|อ.สุไหงโก-ลก|ถ.วงศ์วิถี
361|จ.นราธิวาส|อ.ตากใบ|ถ.นวภัย
362|จ.นราธิวาส|อ.รือเสาะ|ถ.เรือเสาะ-หนองจิก
363|จ.นนทบุรี|อ.ปากเกร็ด|ถ.แจ้งวัฒนะ
364|จ.ปทุมธานี|อ.คลองหลวง|ต.คลองหนึ่ง
365|จ.กรุงเทพมหานคร|เขตปทุมวัน|แขวงวังใหม่
366|จ.กรุงเทพมหานคร|เขตจอมทอง|ถนนเอกชัย
367|จ.นครราชสีมา|อ.ประทาย|ต.ประทาย
368|จ.สระแก้ว|อ.วัฒนานคร|ถ.สุวรรณศร
369|จ.สิงห์บุรี|อ.ท่าช้าง|ต.ถอนสมอ
370|จ.สุรินทร์|อ.ปราสาท|ต.กังแอน
